calBP,PrDens,PrDens_Taphonomic,Site
49559,0.000441666,0.000281083,Border Cave
49558,0.000441727,0.000281114,Border Cave
49557,0.000441787,0.000281145,Border Cave
49556,0.000441848,0.000281176,Border Cave
49555,0.000441908,0.000281207,Border Cave
49554,0.000441969,0.000281238,Border Cave
49553,0.000442029,0.000281269,Border Cave
49552,0.00044209,0.0002813,Border Cave
49551,0.000442151,0.000281331,Border Cave
49550,0.000442211,0.000281362,Border Cave
49549,0.000442272,0.000281393,Border Cave
49548,0.000442332,0.000281424,Border Cave
49547,0.000442393,0.000281455,Border Cave
49546,0.000442453,0.000281486,Border Cave
49545,0.000442514,0.000281517,Border Cave
49544,0.000442574,0.000281548,Border Cave
49543,0.000442635,0.000281579,Border Cave
49542,0.000442695,0.00028161,Border Cave
49541,0.000442756,0.000281641,Border Cave
49540,0.000442816,0.000281672,Border Cave
49539,0.000442865,0.000281695,Border Cave
49538,0.000442913,0.000281718,Border Cave
49537,0.000442961,0.000281741,Border Cave
49536,0.00044301,0.000281764,Border Cave
49535,0.000443058,0.000281787,Border Cave
49534,0.000443106,0.00028181,Border Cave
49533,0.000443155,0.000281834,Border Cave
49532,0.000443203,0.000281857,Border Cave
49531,0.000443251,0.00028188,Border Cave
49530,0.0004433,0.000281903,Border Cave
49529,0.000443348,0.000281926,Border Cave
49528,0.000443396,0.000281949,Border Cave
49527,0.000443445,0.000281972,Border Cave
49526,0.000443493,0.000281996,Border Cave
49525,0.000443541,0.000282019,Border Cave
49524,0.00044359,0.000282042,Border Cave
49523,0.000443638,0.000282065,Border Cave
49522,0.000443686,0.000282088,Border Cave
49521,0.000443735,0.000282111,Border Cave
49520,0.000443783,0.000282134,Border Cave
49519,0.000443825,0.000282154,Border Cave
49518,0.000443867,0.000282173,Border Cave
49517,0.00044391,0.000282192,Border Cave
49516,0.000443952,0.000282211,Border Cave
49515,0.000443994,0.000282231,Border Cave
49514,0.000444037,0.00028225,Border Cave
49513,0.000444079,0.000282269,Border Cave
49512,0.000444121,0.000282289,Border Cave
49511,0.000444163,0.000282308,Border Cave
49510,0.000444206,0.000282327,Border Cave
49509,0.000444248,0.000282346,Border Cave
49508,0.00044429,0.000282366,Border Cave
49507,0.000444333,0.000282385,Border Cave
49506,0.000444375,0.000282404,Border Cave
49505,0.000444417,0.000282423,Border Cave
49504,0.000444459,0.000282443,Border Cave
49503,0.000444502,0.000282462,Border Cave
49502,0.000444544,0.000282481,Border Cave
49501,0.000444586,0.0002825,Border Cave
49500,0.000444628,0.00028252,Border Cave
49499,0.000444665,0.000282535,Border Cave
49498,0.000444701,0.000282551,Border Cave
49497,0.000444737,0.000282566,Border Cave
49496,0.000444774,0.000282581,Border Cave
49495,0.00044481,0.000282597,Border Cave
49494,0.000444846,0.000282612,Border Cave
49493,0.000444882,0.000282628,Border Cave
49492,0.000444919,0.000282643,Border Cave
49491,0.000444955,0.000282659,Border Cave
49490,0.000444991,0.000282674,Border Cave
49489,0.000445027,0.000282689,Border Cave
49488,0.000445064,0.000282705,Border Cave
49487,0.0004451,0.00028272,Border Cave
49486,0.000445136,0.000282736,Border Cave
49485,0.000445173,0.000282751,Border Cave
49484,0.000445209,0.000282767,Border Cave
49483,0.000445245,0.000282782,Border Cave
49482,0.000445281,0.000282797,Border Cave
49481,0.000445318,0.000282813,Border Cave
49480,0.000445354,0.000282828,Border Cave
49479,0.000445378,0.000282836,Border Cave
49478,0.000445403,0.000282844,Border Cave
49477,0.000445427,0.000282852,Border Cave
49476,0.000445451,0.00028286,Border Cave
49475,0.000445476,0.000282867,Border Cave
49474,0.0004455,0.000282875,Border Cave
49473,0.000445525,0.000282883,Border Cave
49472,0.000445549,0.000282891,Border Cave
49471,0.000445573,0.000282899,Border Cave
49470,0.000445598,0.000282907,Border Cave
