calBP,PrDens,PrDens_Taphonomic,Site
49519,0.000443825,0.000282154,Border Cave C14
49518,0.000443867,0.000282173,Border Cave C14
49517,0.00044391,0.000282192,Border Cave C14
49516,0.000443952,0.000282211,Border Cave C14
49515,0.000443994,0.000282231,Border Cave C14
49514,0.000444037,0.00028225,Border Cave C14
49513,0.000444079,0.000282269,Border Cave C14
49512,0.000444121,0.000282289,Border Cave C14
49511,0.000444163,0.000282308,Border Cave C14
49510,0.000444206,0.000282327,Border Cave C14
49509,0.000444248,0.000282346,Border Cave C14
49508,0.00044429,0.000282366,Border Cave C14
49507,0.000444333,0.000282385,Border Cave C14
49506,0.000444375,0.000282404,Border Cave C14
49505,0.000444417,0.000282423,Border Cave C14
49504,0.000444459,0.000282443,Border Cave C14
49503,0.000444502,0.000282462,Border Cave C14
49502,0.000444544,0.000282481,Border Cave C14
49501,0.000444586,0.0002825,Border Cave C14
49500,0.000444628,0.00028252,Border Cave C14
49499,0.000444665,0.000282535,Border Cave C14
49498,0.000444701,0.000282551,Border Cave C14
49497,0.000444737,0.000282566,Border Cave C14
49496,0.000444774,0.000282581,Border Cave C14
49495,0.00044481,0.000282597,Border Cave C14
49494,0.000444846,0.000282612,Border Cave C14
49493,0.000444882,0.000282628,Border Cave C14
49492,0.000444919,0.000282643,Border Cave C14
49491,0.000444955,0.000282659,Border Cave C14
49490,0.000444991,0.000282674,Border Cave C14
49489,0.000445027,0.000282689,Border Cave C14
49488,0.000445064,0.000282705,Border Cave C14
49487,0.0004451,0.00028272,Border Cave C14
49486,0.000445136,0.000282736,Border Cave C14
49485,0.000445173,0.000282751,Border Cave C14
49484,0.000445209,0.000282767,Border Cave C14
49483,0.000445245,0.000282782,Border Cave C14
49482,0.000445281,0.000282797,Border Cave C14
49481,0.000445318,0.000282813,Border Cave C14
49480,0.000445354,0.000282828,Border Cave C14
49479,0.000445378,0.000282836,Border Cave C14
49478,0.000445403,0.000282844,Border Cave C14
49477,0.000445427,0.000282852,Border Cave C14
49476,0.000445451,0.00028286,Border Cave C14
49475,0.000445476,0.000282867,Border Cave C14
49474,0.0004455,0.000282875,Border Cave C14
49473,0.000445525,0.000282883,Border Cave C14
49472,0.000445549,0.000282891,Border Cave C14
49471,0.000445573,0.000282899,Border Cave C14
49470,0.000445598,0.000282907,Border Cave C14
49469,0.000445622,0.000282915,Border Cave C14
49468,0.000445646,0.000282922,Border Cave C14
49467,0.000445671,0.00028293,Border Cave C14
49466,0.000445695,0.000282938,Border Cave C14
49465,0.00044572,0.000282946,Border Cave C14
49464,0.000445744,0.000282954,Border Cave C14
49463,0.000445768,0.000282962,Border Cave C14
49462,0.000445793,0.00028297,Border Cave C14
49461,0.000445817,0.000282977,Border Cave C14
49460,0.000445842,0.000282985,Border Cave C14
49459,0.000445866,0.000282993,Border Cave C14
49458,0.00044589,0.000283001,Border Cave C14
49457,0.000445914,0.000283009,Border Cave C14
49456,0.000445939,0.000283016,Border Cave C14
49455,0.000445963,0.000283024,Border Cave C14
49454,0.000445987,0.000283032,Border Cave C14
49453,0.000446012,0.00028304,Border Cave C14
49452,0.000446036,0.000283048,Border Cave C14
49451,0.00044606,0.000283055,Border Cave C14
49450,0.000446084,0.000283063,Border Cave C14
49449,0.000446109,0.000283071,Border Cave C14
49448,0.000446133,0.000283079,Border Cave C14
49447,0.000446157,0.000283086,Border Cave C14
49446,0.000446182,0.000283094,Border Cave C14
49445,0.000446206,0.000283102,Border Cave C14
49444,0.00044623,0.00028311,Border Cave C14
49443,0.000446254,0.000283118,Border Cave C14
49442,0.000446279,0.000283125,Border Cave C14
49441,0.000446303,0.000283133,Border Cave C14
49440,0.000446327,0.000283141,Border Cave C14
49439,0.00044634,0.000283141,Border Cave C14
49438,0.000446352,0.000283141,Border Cave C14
49437,0.000446364,0.000283141,Border Cave C14
49436,0.000446376,0.000283141,Border Cave C14
49435,0.000446388,0.000283142,Border Cave C14
49434,0.000446401,0.000283142,Border Cave C14
49433,0.000446413,0.000283142,Border Cave C14
49432,0.000446425,0.000283142,Border Cave C14
49431,0.000446437,0.000283142,Border Cave C14
49430,0.00044645,0.000283142,Border Cave C14
49429,0.000446462,0.000283142,Border Cave C14
49428,0.000446474,0.000283142,Border Cave C14
49427,0.000446486,0.000283143,Border Cave C14
49426,0.000446499,0.000283143,Border Cave C14
49425,0.000446511,0.000283143,Border Cave C14
