"calBP","PrDens"
54235,2.00545160075923e-05
54234,2.00524912230059e-05
54233,2.0050468419455e-05
54232,2.0048447598344e-05
54231,2.00464287610781e-05
54230,2.00444119090624e-05
54229,2.00423970437028e-05
54228,2.00403841664055e-05
54227,2.00383732785763e-05
54226,2.00363643816223e-05
54225,2.00343574769502e-05
54224,2.00323525659674e-05
54223,2.00303496500818e-05
54222,2.00283487307009e-05
54221,2.00263498092335e-05
54220,2.00243528870877e-05
54219,2.00187577414844e-05
54218,2.00131653636216e-05
54217,2.00075757553501e-05
54216,2.00019889185191e-05
54215,1.9996404854978e-05
54214,1.99908235665747e-05
54213,1.99852450551566e-05
54212,1.99796693225703e-05
54211,1.99740963706612e-05
54210,1.99685262012742e-05
54209,1.99629588162534e-05
54208,1.9957394217442e-05
54207,1.99518324066825e-05
54206,1.99462733858163e-05
54205,1.99407171566841e-05
54204,1.9935163721126e-05
54203,1.9929613080981e-05
54202,1.99240652380876e-05
54201,1.99185201942829e-05
54200,1.99129779514038e-05
54199,1.99084525336445e-05
54198,1.99039292172977e-05
54197,1.98994080035978e-05
54196,1.98948888937785e-05
54195,1.98903718890735e-05
54194,1.98858569907159e-05
54193,1.98813441999385e-05
54192,1.98768335179739e-05
54191,1.98723249460537e-05
54190,1.98678184854098e-05
54189,1.98633141372733e-05
54188,1.98588119028751e-05
54187,1.98543117834459e-05
54186,1.98498137802152e-05
54185,1.98453178944131e-05
54184,1.98408241272687e-05
54183,1.9836332480011e-05
54182,1.98318429538686e-05
54181,1.98273555500693e-05
54180,1.98228702698411e-05
54179,1.98163721533603e-05
54178,1.98098776952918e-05
54177,1.98033868982206e-05
54176,1.97968997647296e-05
54175,1.97904162974004e-05
54174,1.97839364988134e-05
54173,1.9777460371547e-05
54172,1.97709879181783e-05
54171,1.97645191412826e-05
54170,1.97580540434338e-05
54169,1.97515926272043e-05
54168,1.97451348951649e-05
54167,1.97386808498851e-05
54166,1.97322304939321e-05
54165,1.97257838298722e-05
54164,1.97193408602701e-05
54163,1.97129015876886e-05
54162,1.97064660146895e-05
54161,1.97000341438323e-05
54160,1.96936059776755e-05
