"calBP","PrDens"
54591,4.28312307931102e-05
54590,4.28373212293579e-05
54589,4.2843412196183e-05
54588,4.28495036934647e-05
54587,4.28555957210824e-05
54586,4.28616882789151e-05
54585,4.2867781366842e-05
54584,4.2873874984742e-05
54583,4.28799691324943e-05
54582,4.28860638099777e-05
54581,4.2892159017071e-05
54580,4.28982547536528e-05
54579,4.29032606161381e-05
54578,4.29082669276164e-05
54577,4.29132736880043e-05
54576,4.29182808972187e-05
54575,4.29232885551762e-05
54574,4.29282966617933e-05
54573,4.29333052169866e-05
54572,4.29383142206725e-05
54571,4.29433236727676e-05
54570,4.29483335731882e-05
54569,4.29533439218506e-05
54568,4.2958354718671e-05
54567,4.29633659635656e-05
54566,4.29683776564507e-05
54565,4.29733897972422e-05
54564,4.29784023858563e-05
54563,4.29834154222088e-05
54562,4.29884289062158e-05
54561,4.2993442837793e-05
54560,4.29984572168564e-05
54559,4.30045231320386e-05
54558,4.30105896254074e-05
54557,4.30166566968309e-05
54556,4.30227243461769e-05
54555,4.30287925733135e-05
54554,4.30348613781085e-05
54553,4.30409307604296e-05
54552,4.30470007201447e-05
54551,4.30530712571211e-05
54550,4.30591423712263e-05
54549,4.30652140623279e-05
54548,4.3071286330293e-05
54547,4.30773591749891e-05
54546,4.3083432596283e-05
54545,4.30895065940418e-05
54544,4.30955811681326e-05
